Order_ID,Order_Date,Customer_ID,Restaurant_Name,City,Cuisine_Type,Order_Value,Discount_Amount,Delivery_Time_Min,Payment_Method,Rating,Order_Status,Order_Hour
ORD00001,2025-11-24,C2679,Chinese Wok,Kannur,Indian,266.9,39.4,62,UPI,3.4,Delivered,0
ORD00002,2025-02-17,C9928,Arabian Grill,Trivandrum,Fast Food,379.57,55.92,47,UPI,4.1,Delivered,5
ORD00003,2025-12-24,C6514,Burger Hub,Kochi,Fast Food,593.75,14.36,32,Cash,4.9,Delivered,19
ORD00004,2025-05-16,C7201,Burger Hub,Kannur,Chinese,997.48,206.83,61,Cash,3.2,Delivered,18
ORD00005,2025-04-09,C2307,Spice Route,Trivandrum,Indian,889.8,84.56,17,Wallet,4.5,Delivered,20
ORD00006,2025-07-06,C2169,Cafe Kerala,Trivandrum,Cafe,320.79,58.47,37,Card,3.5,Delivered,14
ORD00007,2025-07-14,C6313,Spice Route,Kochi,Arabic,433.45,89.05,55,Cash,3.4,Delivered,12
ORD00008,2025-05-18,C9179,Arabian Grill,Thrissur,Arabic,219.5,14.54,51,Card,3.6,Delivered,23
ORD00009,2025-10-15,C7543,Biriyani House,Trivandrum,Arabic,715.93,91.2,62,UPI,4.8,Delivered,1
ORD00010,2025-02-26,C2040,Arabian Grill,Thrissur,Cafe,310.48,77.32,25,Cash,3.8,Delivered,17
ORD00011,2025-01-06,C5371,Spice Route,Calicut,Indian,864.3,63.42,22,Card,4.1,Delivered,14
ORD00012,2025-01-02,C3927,Cafe Kerala,Kochi,Chinese,1151.51,242.3,61,Card,4.0,Delivered,4
ORD00013,2025-07-11,C9689,Burger Hub,Kannur,Chinese,950.64,116.12,49,UPI,,Cancelled,11
ORD00014,2025-06-07,C2403,Chinese Wok,Thrissur,Indian,401.42,98.15,30,Card,4.9,Delivered,4
ORD00015,2025-12-04,C7932,Pizza Point,Kannur,Arabic,649.05,115.68,50,Wallet,4.1,Delivered,21
ORD00016,2025-11-29,C2049,Biriyani House,Kochi,Cafe,542.09,75.07,48,Card,3.5,Delivered,0
ORD00017,2025-02-06,C6413,Burger Hub,Kannur,Arabic,893.23,62.19,18,Wallet,4.8,Delivered,6
ORD00018,2025-10-04,C8749,Spice Route,Thrissur,Arabic,288.93,6.81,51,Wallet,3.5,Delivered,11
ORD00019,2025-08-05,C2612,Burger Hub,Thrissur,Chinese,581.66,116.42,70,UPI,4.3,Delivered,7
ORD00020,2025-04-09,C8579,Pizza Point,Kochi,Fast Food,349.72,70.65,43,UPI,3.4,Delivered,1
ORD00021,2025-11-30,C4872,Pizza Point,Thrissur,Fast Food,1199.25,144.32,68,Wallet,3.2,Delivered,1
ORD00022,2025-03-26,C8454,Biriyani House,Thrissur,Cafe,547.92,90.66,39,Wallet,4.6,Delivered,4
ORD00023,2025-04-08,C6138,Burger Hub,Kochi,Cafe,461.54,55.01,18,Card,4.1,Delivered,1
ORD00024,2025-09-18,C4853,Arabian Grill,Kochi,Cafe,234.12,14.41,26,UPI,3.1,Delivered,19
ORD00025,2025-02-11,C5272,Pizza Point,Calicut,Arabic,590.19,39.19,52,Card,3.6,Delivered,21
ORD00026,2025-11-27,C2188,Burger Hub,Thrissur,Cafe,465.0,116.07,35,UPI,,Cancelled,2
ORD00027,2025-10-03,C2127,Pizza Point,Calicut,Chinese,373.81,14.74,31,Cash,3.7,Delivered,19
